tid1,tid2,tid3,tid4,tid5,tid6,tid7,tid8,tid9,tid10,tid11,tid12,tid13,tid14,tid15,tid16,tid17,tid18,tid19,tid20
296,1,1,1,1,161,10,1,2,1,277,1,1,50,110,318,588,1,2,2
306,62,29,260,19,260,17,3,10,32,372,2,19,293,141,858,5055,3,44,44
307,110,32,296,32,318,28,6,34,50,527,3,32,296,216,1193,6377,5,48,260
665,150,50,541,36,527,58,7,39,110,593,7,34,527,296,1221,6942,7,110,317
899,151,111,589,39,593,150,10,61,150,1203,10,47,608,349,1240,36086,10,123,318
1088,236,172,780,47,608,153,11,105,193,1207,16,60,1089,356,1704,47099,11,158,356
1175,260,173,924,50,858,165,16,116,260,2329,18,70,1265,380,1961,51662,17,231,367
1217,261,214,1036,88,902,185,18,150,296,2581,20,104,2329,480,2023,59315,19,260,539
1237,266,260,1080,95,912,232,21,158,318,2694,21,110,2542,541,2028,59784,47,293,589
1250,318,293,1136,104,913,265,25,161,356,2858,22,112,2858,543,2324,62999,50,296,593
1260,333,296,1196,113,919,288,27,165,380,2881,25,141,2959,608,2858,68954,95,318,780
1653,349,318,1197,122,924,296,32,168,457,3146,27,150,4011,736,2959,72998,110,356,858
2011,356,356,1198,141,1097,306,39,225,480,4210,29,153,4973,778,3000,77561,141,364,1036
2012,364,442,1200,147,1183,307,47,256,588,4745,31,173,4993,1088,4993,78105,153,367,1097
2068,380,480,1201,150,1196,308,50,260,589,4993,32,208,6016,1103,5618,78499,160,480,1193
2161,457,527,1210,153,1198,329,62,273,592,5296,36,216,7438,1136,5952,79091,165,541,1196
2351,480,541,1214,170,1203,344,69,276,593,5618,39,231,8874,1183,5971,88140,173,588,1200
2573,497,589,1220,191,1213,410,95,277,608,6535,45,256,34405,1189,5995,89745,186,593,1201
2632,524,593,1265,216,1466,457,103,280,780,7153,47,260,46976,1197,6016,95167,253,594,1204
2692,527,741,1270,218,1704,527,104,317,924,8910,48,277,60069,1198,6350,102125,260,595,1210
